id,cycle,interstage_alarms,inlet_pressure,inlet_temp,discharge_pressure,discharge_temp,stage_1_pressure,stage_1_temp,stage_2_pressure,stage_2_temp,stage_3_pressure,stage_3_temp,stage_4_pressure,stage_4_temp,encolusure_temp,ambient_temp,minutes_after,rul
6,1,0.0,74.0,6.0108697627213e-41,2.6347213726235195e-41,95.0,106.5,162.05383300781298,217.800003051758,194.25172424316398,466.799987792969,466.799987792969,118.748260498047,591.5999755859381,97.5,97.9000015258789,23.003766666666667,96
6,2,0.0,253.0,1.86372695755201e-43,4.982456819753321e-41,93.5,274.074066162109,163.948501586914,253.600006103516,210.168411254883,536.799987792969,536.799987792969,115.194007873535,709.2000122070309,92.0,92.3000030517578,11.6694,95
6,3,0.0,76.5,6.595491482037621e-41,3.7973787084738197e-41,93.5,88.0185165405273,163.649307250977,218.300003051758,189.69445800781298,309.0,309.0,117.814239501953,350.600006103516,97.5,97.5,21.17255,94
6,4,0.0,91.5,6.78144378825352e-41,6.67788783173992e-41,94.0,92.3888931274414,160.76882934570298,246.600006103516,210.896270751953,948.7999877929691,240.800003051758,116.845054626465,1116.80004882813,93.5,93.6999969482422,17.00405,93
6,5,0.0,74.5,8.120664730608748e-41,4.23976863366117e-41,96.5,84.5185165405273,167.270843505859,228.899993896484,204.949645996094,442.600006103516,442.600006103516,119.80251312255899,552.799987792969,95.0,95.4000015258789,18.673116666666665,92
6,6,0.0,106.0,1.40129846432482e-45,3.96749634204285e-41,97.5,106.574073791504,168.831039428711,222.600006103516,201.571182250977,210.199996948242,210.199996948242,120.573783874512,728.400024414063,97.5,97.6999969482422,15.670716666666667,91
6,7,0.0,105.5,4.07637723272089e-41,4.295680442387729e-41,95.0,84.5740737915039,167.818298339844,222.399993896484,195.65625,213.399993896484,420.399993896484,119.314239501953,439.799987792969,97.5,97.9000015258789,19.339733333333335,90
6,8,0.0,75.0,7.99328670020162e-41,1.5824863557620197e-41,95.0,84.5,168.126159667969,249.0,210.55383300781298,456.0,456.0,117.748260498047,553.200012207031,94.0,94.3000030517578,16.670216666666665,89
6,9,0.0,90.0,5.766483310543051e-41,1.1400964305746699e-41,94.5,90.8888931274414,168.712982177734,251.399993896484,196.046875,246.899993896484,246.899993896484,117.53125,331.399993896484,95.0,95.4000015258789,24.50728333333333,88
6,10,0.0,75.0,6.38291450499954e-41,8.61364153035822e-41,94.0,86.0,163.38137817382798,224.800003051758,194.609375,219.0,219.0,116.236541748047,329.600006103516,95.0,95.1999969482422,15.5035,87
6,11,0.0,228.0,7.392690178391999e-41,2.76097836425919e-41,94.0,256.0,164.23713684082,233.300003051758,203.25172424316398,656.4000244140631,656.4000244140631,115.670570373535,833.2000122070309,92.5,92.5,16.669666666666664,86
6,12,0.0,86.5,8.933838229456441e-41,3.1330231065374296e-41,96.5,93.0185165405273,169.05325317382798,242.300003051758,223.868057250977,263.79998779296903,1060.80004882813,114.941841125488,332.399993896484,91.0,91.4000015258789,16.503833333333333,85
6,13,0.0,92.0,2.9124587282527003e-41,2.13655976855605e-41,96.5,92.0185165405273,168.82351684570298,256.79998779296903,219.25520324707,253.600006103516,253.600006103516,116.658851623535,331.399993896484,91.5,91.9000015258789,15.169,84
6,14,0.0,76.0,3.82134091221378e-41,5.488745954913879e-41,94.0,86.5,166.104751586914,225.5,199.996536254883,222.5,367.799987792969,118.356773376465,409.600006103516,93.0,93.0,23.341600000000003,83
6,15,0.0,76.5,1.28092692623932e-41,5.439560378816071e-41,91.0,101.518516540527,165.28762817382798,230.100006103516,199.506942749023,360.399993896484,360.399993896484,113.976997375488,390.799987792969,90.5,90.6999969482422,15.835283333333333,82
6,16,0.0,92.0,7.921540218828191e-41,6.171598696579359e-41,92.5,252.037033081055,166.461807250977,256.600006103516,205.58073425293,251.199996948242,707.2000122070309,113.75998687744101,839.2000122070309,90.0,90.3000030517578,20.338216666666664,81
6,17,0.0,98.0,5.644149954607499e-41,7.949426058268249e-41,91.0,227.037033081055,157.099548339844,221.300003051758,178.873260498047,219.0,219.0,113.248260498047,326.0,93.0,93.1999969482422,25.676233333333336,80
6,18,0.0,181.0,7.2119226764941e-41,5.458057518545159e-41,88.5,206.037033081055,153.958923339844,229.100006103516,188.383682250977,276.79998779296903,1089.59997558594,112.158851623535,1408.8000488281302,90.0,90.0,18.0041,79
6,19,0.0,184.0,3.24456646429768e-41,8.62022763314054e-41,87.5,203.037033081055,153.450531005859,230.0,205.082473754883,1141.59997558594,1141.59997558594,110.609375,1528.0,87.0,86.9000015258789,23.171499999999998,78
6,20,0.0,199.0,7.655713900145771e-41,4.295680442387729e-41,88.0,92.3888931274414,153.10012817382798,243.0,175.574661254883,242.100006103516,242.100006103516,108.694007873535,331.20001220703097,90.5,90.5,19.841066666666666,77
6,21,0.0,188.0,6.70185003547987e-41,3.5768143301890997e-41,87.0,210.037033081055,156.806732177734,238.199996948242,178.140625,1100.80004882813,1100.80004882813,108.546005249023,1400.0,90.5,90.3000030517578,20.840333333333334,76
