id,cycle,inlet_pressure,discharge_temp,stage_1_pressure,stage_1_temp,stage_2_pressure,stage_2_temp,stage_3_pressure,stage_3_temp,stage_4_pressure,stage_4_temp,encolusure_temp,ambient_temp,minutes_after,rul
8,15,75.5,87.5,85.57407379,160.0312653,225.5,185.7795258,221,222.1999969,110.2482605,326.3999939,90.5,90.5,18.01505,63
8,16,90.5,89.5,91.51851654,150.159729,231.1000061,169.1493073,245.6999969,239.8999939,109.7044296,327.6000061,94,94.09999847,27.02011667,62
8,17,252,88,274,161.1166229,259.6000061,214.7977448,256.6000061,254.5,104.6631927,688,82.5,82.80000305,11.17478333,61
8,18,92,87.5,92.88889313,163.6915588,251.8999939,190.0850677,249.3999939,429.6000061,109.771698,452.7999878,87.5,87.80000305,18.34821667,60
8,19,92,89,84.88889313,151.7048645,243,178.0260468,238.1000061,237.1000061,108.9461823,579.2000122,91.5,91.59999847,24.68538333,59
8,20,189,87,92.01851654,148.3521576,243.6999969,170.706604,241.8000031,1004.799988,108.7291641,1199.199951,92,92.09999847,26.18756667,58
8,21,92,87,92.5,157.0405121,244.3999939,191.9900208,243.1999969,242.3999939,108.8802109,323.2000122,90,90.30000305,20.51733333,57
8,22,194,89,90.5,151.2789459,230.6000061,171.3663177,264.2000122,984,107.3129349,1156.800049,92.5,93,23.51921667,56
8,23,90,89.5,224,153.5682983,239,175.706604,254.1000061,939.2000122,110.9887161,1088,93.5,93.69999695,22.18395,55
8,24,75,90,92.01851654,160.678833,247.8000031,188.1197815,247.6000061,246.6000061,112.7599869,322.2000122,91,91.19999695,20.34866667,54
8,25,76,90,89.51851654,160.9728088,245.8999939,189.2256927,245.8000031,373.6000061,113.6940079,327.2000122,90,90.09999847,21.68516667,53
8,26,75.5,89,85.51851654,162.0792847,254.1000061,206.7152863,255.6999969,253.6999969,110.151474,325.7999878,84.5,85.09999847,14.67821667,52
8,27,192,88,91.88889313,148.3307495,233.8000031,172.0173645,241,241,108.8025131,326.3999939,90.5,90.69999695,30.68988333,51
8,28,246,85.5,272.0740662,161.0134583,244.8000031,210.5911407,245.8999939,554.4000244,104.5737839,330.6000061,81,81.30000305,13.67823333,50
8,29,246,86.5,92.51851654,149.3932495,243.3000031,170.9704742,242.1999969,240.1999969,107.6940079,683.2000122,89,89.19999695,27.85788333,49
8,30,87,84.5,89.57407379,160.8321838,243.6000061,203.953125,309.7999878,295.7999878,102.9683151,328,81,81,12.84388333,48
8,31,75,85,92.01851654,151.0792847,243.3000031,172.621521,239.8999939,427.7999878,106.8142395,470.6000061,86.5,86.69999695,22.51716667,47
8,32,75,84,92.57407379,157.440979,253.6999969,191.4600677,251.8000031,250.8000031,107.271698,559.5999756,83.5,83.5,20.51616667,46
8,33,192,81.5,223.7777863,151.3796387,245.1999969,202.8962708,275.2000122,265.2000122,101.7482605,1196.800049,79.5,79.5,11.17616667,45
8,34,176,82,88.88889313,150.884552,237.6999969,194.659729,357,322.7999878,103.6184921,327,79.5,79.69999695,24.68573333,44
8,35,223,81.5,250.7777863,157.9809113,256.3999939,194.7434845,255.5,730.7999878,103.0855026,854.4000244,80.5,80.80000305,15.1775,43
8,36,255,81,277.5555725,153.6537933,259.6000061,190.8046875,257,257,101.9769974,684.7999878,80.5,80.19999695,15.0121,42
8,37,92,81.5,304.2962952,151.1255951,250.6999969,235.2816772,253.8000031,253.8000031,100.6940079,328.2000122,71,71.40000153,21.6845,41
8,38,229,80,255.1481476,151.0998535,252.3000031,183.4722137,257.2000122,678.7999878,101.5855026,326.3999939,79.5,79.90000153,12.009,40
8,39,75,80.5,85.07407379,149.4282532,250.1999969,178.1110992,251.3999939,475.3999939,101.0429688,326.6000061,80.5,80.59999847,19.51516667,39
8,40,78.5,79.5,89.70370483,150.9045258,235.5,177.621521,389.6000061,337.2000122,100.3446121,330.6000061,79,79.19999695,14.511,38
8,41,92.5,79,92.70370483,144.2575378,243,180.4006042,257,251.5,97.53125,328.7999878,81.5,81.90000153,19.5175,37
8,42,76,79.5,87.51851654,139.6365814,244.6999969,156.5069427,245.6999969,375.7999878,97.70572662,387.3999939,82.5,82.59999847,27.18933333,36
8,43,91.5,79,89.01851654,136.7471161,233.3999939,177.1367188,279.7999878,261.7999878,96.2482605,1278.400024,82,82.80000305,29.52461667,35
8,44,75.5,77,93.38889313,147.2702637,250.6999969,165.6510468,251.6999969,250.6999969,96.73654175,328.7999878,80,80.19999695,18.84911667,34
8,45,90,77.5,218.4074097,136.3883209,236.8000031,150.272583,276.6000061,256.7999878,94.69400787,1215.199951,81.5,81.5,27.69,33
8,46,86.5,76.5,86.01851654,144.960083,247.8000031,157.9618073,246.3000031,246.3000031,94.70572662,328.3999939,79.5,79.90000153,30.524,32
8,47,180,77,210.0370331,131.1417847,225.8000031,165.4006042,310.7999878,243.1999969,91.69140625,1316.800049,79.5,79.90000153,51.54433333,31
8,48,190,77,221.7777863,124.2313385,215.1999969,153.9739532,232.3999939,959.5999756,89.56206512,1105.599976,78.5,78.80000305,61.38376667,30
8,49,114.5,76,114.5740738,110.5588913,148.1999969,128.098526,116.5999985,869.2000122,85.03125,328.7999878,75.5,75.59999847,126.603,29
8,50,76,72.5,87.38889313,106.5949173,189.3999939,108.2265625,188,290,85.47699738,348.7999878,74,74.09999847,66.39028333,28
8,51,76,69,84.51851654,122.3524323,237.1999969,138.6389008,233.3000031,458.7999878,85.94618225,580.7999878,73,73.19999695,34.36371667,27
8,52,93,66.5,269.9259338,139.4149323,256.7999878,166.9357605,259.6000061,499,86.651474,655.2000122,67.5,67.80000305,14.3445,26
8,53,92.5,66.5,92.38889313,141.9681854,254.5,158.5364532,259,259,87.271698,326,69,69.30000305,16.84673333,25
8,54,224,67.5,259.5555725,132.0509338,245.6999969,161.6979065,246.1999969,249.1999969,84.66319275,325.6000061,70.5,71.09999847,25.02083333,24
8,55,165,65.5,192.7777863,136.7806854,234.6999969,180.331604,283.7999878,1141.599976,87.0980835,1641.599976,67.5,68.19999695,21.5175,23
8,56,92.5,65.5,86.57407379,140.6111145,250.8000031,162.8211823,258,417,85.04296875,424,67,67.09999847,16.17943333,22
8,57,228,67.5,257.5555725,137.7796783,248.3999939,164.28125,253.3000031,638.7999878,87.9344635,752.4000244,70,69.59999847,26.35623333,21
8,58,86,59,85.51851654,150.9473572,258.2000122,176.8828125,263.3999939,263.3999939,85.69400787,328.7999878,64.5,64,14.01176667,20
8,59,180,66,208.222229,133.3695221,240.1999969,169.1293335,316,1061.599976,85.04036713,1345.599976,69,69.59999847,21.3509,19
8,60,85,66.5,203.7777863,138.1973572,238.1999969,181.7261353,330.7999878,1119.199951,86.81033325,323.3999939,65.5,65.80000305,14.013,18
8,61,245,67.5,275.5555725,140.1166229,250.1000061,168.5147552,257.7999878,545.2000122,88.88021088,672.4000244,69.5,69.59999847,18.348,17
8,62,93,67.5,93.48148346,149.1255951,261.3999939,196.2083282,267.3999939,267.3999939,82.50043488,324,63,63,11.343,16
8,63,92.5,67.5,93.1111145,150.631958,259.3999939,183.4600677,262.3999939,474.7999878,87.3142395,326.7999878,66,66.40000153,11.67626667,15
8,64,197,69.5,225.9629669,145.9476471,255.3999939,194.7026825,267.2000122,938,88.30251312,326,65,65.30000305,16.17923333,14
8,65,93,72,93.48148346,156.4872894,258.2000122,186.9913177,259.6000061,259.6000061,92.94618225,324,69.5,69.80000305,18.34938333,13
